rec_rate,chromosome_length,num_trees,simulation_time,distance_from_target,relative_error,seed,target_product,actual_product
1e-08,100000000.0,11345,0.32120513916015625,1345,0.1345,43,1.0,1.0
1e-08,100000000.0,11610,0.3438429832458496,1610,0.161,44,1.0,1.0
1e-07,10000000.0,11797,0.35132336616516113,1797,0.1797,45,1.0,1.0
1e-07,10000000.0,11313,0.4015169143676758,1313,0.1313,46,1.0,1.0
1e-05,100000.0,11311,0.3794839382171631,1311,0.1311,47,1.0,1.0
1e-05,100000.0,11190,0.35192084312438965,1190,0.119,48,1.0,1.0
2e-05,50000.0,10330,0.29680299758911133,330,0.033,49,1.0,1.0
2e-05,50000.0,10248,0.313814640045166,248,0.0248,50,1.0,1.0
5e-05,20000.0,8774,0.32322168350219727,1226,0.1226,51,1.0,1.0
5e-05,20000.0,8593,0.28742361068725586,1407,0.1407,52,1.0,1.0
0.0001,10000.0,6860,0.2972540855407715,3140,0.314,53,1.0,1.0
0.0001,10000.0,6856,0.3255448341369629,3144,0.3144,54,1.0,1.0
0.0002,5000.0,4475,0.27558279037475586,5525,0.5525,55,1.0,1.0
0.0002,5000.0,4458,0.2832522392272949,5542,0.5542,56,1.0,1.0
0.0005,2000.0,1991,0.35472822189331055,8009,0.8009,57,1.0,1.0
0.0005,2000.0,1990,0.2940375804901123,8010,0.801,58,1.0,1.0
0.001,1000.0,1000,0.23764944076538086,9000,0.9,59,1.0,1.0
0.001,1000.0,1000,0.2209336757659912,9000,0.9,60,1.0,1.0
1e-05,200000.0,21994,1.187429666519165,11994,1.1994,61,2.0,2.0
1e-05,200000.0,21523,1.1573114395141602,11523,1.1523,62,2.0,2.0
2e-05,100000.0,20292,1.1413779258728027,10292,1.0292,63,2.0,2.0
2e-05,100000.0,20483,1.1102278232574463,10483,1.0483,64,2.0,2.0
0.0001,20000.0,13497,1.1359078884124756,3497,0.3497,65,2.0,2.0
0.0001,20000.0,13388,1.048626184463501,3388,0.3388,66,2.0,2.0
0.0002,10000.0,8957,0.9959771633148193,1043,0.1043,67,2.0,2.0
0.0002,10000.0,8879,0.9321329593658447,1121,0.1121,68,2.0,2.0
0.001,2000.0,2000,0.8397560119628906,8000,0.8,69,2.0,2.0
0.001,2000.0,2000,0.932917594909668,8000,0.8,70,2.0,2.0
0.002,1000.0,1000,0.6237778663635254,9000,0.9,71,2.0,2.0
0.002,1000.0,1000,0.5858347415924072,9000,0.9,72,2.0,2.0
1e-07,100000000.0,113638,24.081085205078125,103638,10.3638,73,10.0,10.0
1e-07,100000000.0,115175,22.677953720092773,105175,10.5175,74,10.0,10.0
1e-05,1000000.0,109197,22.90482473373413,99197,9.9197,75,10.0,10.0
1e-05,1000000.0,110014,25.866448402404785,100014,10.0014,76,10.0,10.0
2e-05,500000.0,103726,25.898685693740845,93726,9.3726,77,10.0,10.0
2e-05,500000.0,102773,23.380475759506226,92773,9.2773,78,10.0,10.0
5e-05,200000.0,87343,21.532505989074707,77343,7.7343,79,10.0,10.0
5e-05,200000.0,87706,21.8777916431427,77706,7.7706,80,10.0,10.0
0.0001,100000.0,67837,22.44597864151001,57837,5.7837,81,10.0,10.0
0.0001,100000.0,68216,26.56545114517212,58216,5.8216,82,10.0,10.0
0.0002,50000.0,44676,23.715254545211792,34676,3.4676,83,10.0,10.0
0.0002,50000.0,44737,23.61269521713257,34737,3.4737,84,10.0,10.0
0.0005,20000.0,19905,27.543246507644653,9905,0.9905,85,10.0,10.0
0.0005,20000.0,19902,27.461092233657837,9902,0.9902,86,10.0,10.0
0.001,10000.0,10000,23.693081378936768,0,0.0,87,10.0,10.0
0.001,10000.0,9999,24.24078106880188,1,0.0001,88,10.0,10.0
0.002,5000.0,5000,17.437270164489746,5000,0.5,89,10.0,10.0
0.002,5000.0,5000,16.626344919204712,5000,0.5,90,10.0,10.0
0.005,2000.0,2000,10.507136821746826,8000,0.8,91,10.0,10.0
0.005,2000.0,2000,10.535233497619629,8000,0.8,92,10.0,10.0
